,Country,Tournament,Year of Tournament,Tournament Surface,Doubles,Prize Money,Match Day,Start Time,Player Name 1,Player Name 2,Winner,Sets,Score,BKNAME,FullClosingFullHomeOdds,FullClosingFullAwayOdds,FullClosingOutcomeTiming,FullOpeningFullHomeOdds,FullOpeningFullAwayOdds,FullOpeningOutcomeTiming,FullHomeVolume,FullAwayVolume,FullHomeLayClosingOdds,FullAwayLayClosingOdds,FullHomeLayOpeningOdds,FullAwayLayOpeningOdds,FullLayClosingTime,FullLayOpenClosingTime,FullLayHomeVolume,FullLayAwayVolume,Set1ClosingFullHomeOdds,Set1ClosingFullAwayOdds,Set1ClosingOutcomeTiming,Set1OpeningFullHomeOdds,Set1OpeningFullAwayOdds,Set1OpeningOutcomeTiming,Set1HomeVolume,Set1AwayVolume,Set1HomeLayClosingOdds,Set1AwayLayClosingOdds,Set1HomeLayOpeningOdds,Set1AwayLayOpeningOdds,Set1LayClosingTime,Set1LayOpenClosingTime,Set1LayHomeVolume,Set1LayAwayVolume,Set2ClosingFullHomeOdds,Set2ClosingFullAwayOdds,Set2ClosingOutcomeTiming,Set2OpeningFullHomeOdds,Set2OpeningFullAwayOdds,Set2OpeningOutcomeTiming,Set2HomeVolume,Set2AwayVolume,Set2HomeLayClosingOdds,Set2AwayLayClosingOdds,Set2HomeLayOpeningOdds,Set2AwayLayOpeningOdds,Set2LayClosingTime,Set2LayOpenClosingTime,Set2LayHomeVolume,Set2LayAwayVolume,Set3ClosingFullHomeOdds,Set3ClosingFullAwayOdds,Set3ClosingOutcomeTiming,Set3OpeningFullHomeOdds,Set3OpeningFullAwayOdds,Set3OpeningOutcomeTiming,Set3HomeVolume,Set3AwayVolume,Set3HomeLayClosingOdds,Set3AwayLayClosingOdds,Set3HomeLayOpeningOdds,Set3AwayLayOpeningOdds,Set3LayClosingTime,Set3LayOpenClosingTime,Set3LayHomeVolume,Set3LayAwayVolume
10,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",bet365,1.01,23.0,2017-01-17 07:01:55,1.01,21.0,2017-01-17 07:01:55,,,,,,,,,,,8.5,1.05,2017-01-17 16:38:53,8.0,1.06,2017-01-17 07:01:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",455,1.01,12.5,2017-01-17 07:03:22,1.01,12.5,2017-01-17 07:03:22,,,,,,,,,,,6.75,1.09,2017-01-17 12:33:29,6.75,1.09,2017-01-17 12:33:29,,,,,,,,,,,1.1,6.0,2017-01-17 12:33:29,1.1,6.0,2017-01-17 12:33:29,,,,,,,,,,,,,,,,,,,,,,,,,,
12,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betfred,1.01,21.0,2017-01-17 07:23:00,1.02,17.0,2017-01-17 07:03:33,,,,,,,,,,,7.0,1.08,2017-01-18 15:45:51,7.0,1.08,2017-01-17 07:12:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",leonbets,1.01,12.5,2017-01-17 07:04:27,1.01,12.5,2017-01-17 07:04:27,,,,,,,,,,,6.75,1.09,2017-01-17 12:33:30,6.75,1.09,2017-01-17 12:33:30,,,,,,,,,,,1.1,6.0,2017-01-17 12:33:30,1.1,6.0,2017-01-17 12:33:30,,,,,,,,,,,,,,,,,,,,,,,,,,
14,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",pinnacle,1.01,27.22,2017-01-17 07:11:09,1.01,27.22,2017-01-17 07:11:09,,,,,,,,,,,7.07,1.13,2017-01-18 22:10:39,8.33,1.1,2017-01-17 07:52:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",jetbull,1.0,23.0,2017-01-17 16:43:42,1.0,23.0,2017-01-17 07:13:47,,,,,,,,,,,8.0,1.05,2017-01-18 18:18:42,7.0,1.05,2017-01-17 07:28:09,,,,,,,,,,,1.05,7.0,2017-01-17 14:24:54,1.05,7.0,2017-01-17 14:24:54,,,,,,,,,,,,,,,,,,,,,,,,,,
16,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",oddsring,1.01,12.5,2017-01-17 07:18:29,1.01,12.5,2017-01-17 07:18:29,,,,,,,,,,,6.75,1.09,2017-01-17 12:18:31,6.75,1.09,2017-01-17 12:18:31,,,,,,,,,,,1.1,6.0,2017-01-17 12:18:31,1.1,6.0,2017-01-17 12:18:31,,,,,,,,,,,,,,,,,,,,,,,,,,
17,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",comeon,1.01,26.5,2017-01-17 08:05:04,1.0,28.25,2017-01-17 07:21:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",10bet,1.01,26.5,2017-01-17 08:04:27,1.0,28.25,2017-01-17 07:22:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",157,1.01,25.0,2017-01-17 07:29:58,1.01,30.0,2017-01-17 07:29:58,,,,,,,,,,,7.5,1.1,2017-01-17 11:11:37,7.5,1.1,2017-01-17 11:11:37,,,,,,,,,,,1.09,8.5,2017-01-17 11:11:37,1.09,8.5,2017-01-17 11:11:37,,,,,,,,,,,,,,,,,,,,,,,,,,
